id;number;road;zip_code;town
1;mindshare Interactions Versatile;Frozen Rubber line;84908;withdrawal
2;Passage JSON supply-chains;end-to-end;40472-2519;purple Credit Developer
3;Chile;invoice;44695-1585;solution policy Grove
4;Bike Timor-Leste grow;Account;05022-6087;National initiative Loan
5;program transmit HTTP;Gardens alarm;45186-4278;azure optical Fresh
6;Accounts blue invoice;Administrator Borders Greece;93776-6787;calculate
7;boliviano;time-frame;09461;Metal
8;Principal Personal;Pound Shoes Gloves;32339-3862;Soft
9;systematic Avon analyzer;regional Regional withdrawal;12686-8703;Profound
10;Forward;Licensed;30419-9093;Rustic withdrawal Anguilla
